q,xpswmm
200,2.528
295.647,12.191
291.649,11.912
287.547,11.631
283.3,11.343
279.155,11.067
274.962,10.791
270.806,10.522
266.659,10.258
262.437,9.993
258.297,9.737
254.192,9.488
249.859,9.229
245.766,8.988
241.624,8.749
237.476,8.513
233.312,8.28
228.921,8.04
224.945,7.826
220.738,7.603
216.623,7.39
212.334,7.172
208.22,6.966
204.067,6.763
200.033,6.57
195.865,6.374
191.626,6.179
187.304,5.985
183.352,5.809
179.218,5.628
175.056,5.455
170.897,5.284
166.74,5.118
162.577,4.956
158.417,4.797
154.247,4.643
150.082,4.493
145.919,4.346
141.749,4.204
137.579,4.067
133.414,3.944
129.252,3.845
125.094,3.746
120.939,3.644
116.799,3.53
112.645,3.397
108.486,3.265
104.322,3.132
100.16,2.998
95.997,2.864
91.847,2.729
87.693,2.594
83.542,2.458
79.387,2.32
75.23,2.182
71.068,2.041
66.908,1.899
62.751,1.756
58.592,1.61
54.429,1.462
50.247,1.446
45.566,1.426
41.738,1.435
37.501,1.45
33.286,1.455
29.136,1.461
24.982,1.467
20.816,1.473
16.649,1.477
12.484,1.481
8.319,1.484
4.154,1.486
4.154,1.486
