Month,Day,Year,Hour,Minute,Flow_mgd,Velocity_fps,Depth_in
2,16,2008,0,0,1.259,2.33,7.11
2,16,2008,0,15,1.105,2.08,7.04
2,16,2008,0,30,1.078,2.05,6.98
2,16,2008,0,45,1.112,2.16,6.87
2,16,2008,1,0,0.969,1.99,6.6
2,16,2008,1,15,1.012,2.05,6.67
2,16,2008,1,30,1.071,2.16,6.69
2,16,2008,1,45,1.066,2.16,6.66
2,16,2008,2,0,1.056,2.24,6.44
2,16,2008,2,15,0.994,2.13,6.4
2,16,2008,2,30,1.036,2.27,6.3
2,16,2008,2,45,0.846,1.82,6.38
2,16,2008,3,0,0.85,1.82,6.4
2,16,2008,3,15,0.881,1.88,6.43
2,16,2008,3,30,0.945,2.08,6.3
2,16,2008,3,45,0.935,2.02,6.37
2,16,2008,4,0,0.862,1.85,6.4
2,16,2008,4,15,0.944,2.05,6.35
2,16,2008,4,30,0.874,1.85,6.46
2,16,2008,4,45,0.879,1.91,6.35
2,16,2008,5,0,1.021,2.16,6.46
2,16,2008,5,15,0.923,1.96,6.44
2,16,2008,5,30,0.974,2.05,6.49
2,16,2008,5,45,0.931,2.02,6.35
2,16,2008,6,0,0.919,1.94,6.49
2,16,2008,6,15,1.034,2.16,6.52
2,16,2008,6,30,0.988,1.96,6.76
2,16,2008,6,45,0.95,1.96,6.57
2,16,2008,7,0,1.057,2.1,6.75
2,16,2008,7,15,1.3,2.48,6.95
2,16,2008,7,30,1.09,2.1,6.9
2,16,2008,7,45,1.311,2.33,7.32
2,16,2008,8,0,1.275,2.24,7.37
2,16,2008,8,15,1.356,2.27,7.63
2,16,2008,8,30,1.325,2.19,7.71
2,16,2008,8,45,1.494,2.44,7.77
2,16,2008,9,0,1.337,2.16,7.83
2,16,2008,9,15,1.397,2.1,8.24
2,16,2008,9,30,1.357,2.05,8.23
2,16,2008,9,45,1.388,2.1,8.2
2,16,2008,10,0,1.557,2.33,8.28
2,16,2008,10,15,1.511,2.33,8.11
2,16,2008,10,30,1.55,2.33,8.26
2,16,2008,10,45,1.479,2.22,8.27
2,16,2008,11,0,1.546,2.27,8.39
2,16,2008,11,15,1.573,2.27,8.49
2,16,2008,11,30,1.538,2.27,8.36
2,16,2008,11,45,1.45,2.22,8.15
2,16,2008,12,0,1.483,2.19,8.36
2,16,2008,12,15,1.418,2.22,8.02
2,16,2008,12,30,1.332,2.05,8.12
2,16,2008,12,45,1.385,2.1,8.19
2,16,2008,13,0,1.397,2.16,8.09
2,16,2008,13,15,1.559,2.41,8.08
2,16,2008,13,30,1.523,2.33,8.15
2,16,2008,13,45,1.498,2.3,8.13
2,16,2008,14,0,1.437,2.27,7.96
2,16,2008,14,15,1.347,2.19,7.8
2,16,2008,14,30,1.31,2.1,7.87
2,16,2008,14,45,1.513,2.41,7.91
2,16,2008,15,0,1.494,2.47,7.71
2,16,2008,15,15,1.347,2.3,7.53
2,16,2008,15,30,1.444,2.38,7.71
2,16,2008,15,45,1.482,2.5,7.6
2,16,2008,16,0,1.456,2.41,7.69
2,16,2008,16,15,1.501,2.52,7.61
2,16,2008,16,30,1.374,2.36,7.51
2,16,2008,16,45,1.529,2.44,7.9
2,16,2008,17,0,1.333,2.27,7.54
2,16,2008,17,15,1.442,2.44,7.58
2,16,2008,17,30,1.485,2.52,7.55
2,16,2008,17,45,1.436,2.41,7.62
2,16,2008,18,0,1.265,2.15,7.57
2,16,2008,18,15,1.456,2.38,7.76
