q,xpswmm
295.871,13.682
291.696,13.394
287.502,13.113
283.308,12.837
279.129,12.562
275.075,12.262
270.687,12.032
266.787,11.717
262.671,11.444
258.375,11.215
254.216,10.961
250.113,10.697
245.876,10.468
241.667,10.237
237.482,10.004
233.366,9.76
229.223,9.526
225.049,9.303
220.954,9.066
216.449,8.916
212.53,8.658
208.345,8.455
204.19,8.248
200.037,8.045
195.866,7.851
191.699,7.659
187.524,7.474
183.339,7.295
179.222,7.111
175.066,6.938
170.901,6.768
166.739,6.601
162.576,6.439
158.416,6.28
154.255,6.126
150.079,5.976
145.915,5.83
141.745,5.688
137.584,5.55
133.409,5.428
129.249,5.328
125.088,5.229
120.939,5.127
116.802,5.013
112.643,4.88
108.483,4.748
104.326,4.615
100.163,4.481
96.001,4.347
91.849,4.212
87.695,4.077
83.541,3.941
79.385,3.803
75.231,3.665
71.073,3.524
66.91,3.383
62.748,3.239
58.591,3.093
54.432,2.945
50.273,2.794
46.116,2.641
41.954,2.483
37.8,2.321
33.639,2.154
29.489,1.981
25.33,1.801
21.179,1.61
17.037,1.408
10.824,1.307
9.761,1.475
2.547,1.406
2.547,1.406
