q,BASE,EN02EX05,EN02EX02,NOLOSS,EN05EX02,EN02EX1
2.875,66.767,66.271,66.767,65.565,66.275,66.767
2.75,66.618,66.164,66.618,65.516,66.167,66.618
2.625,66.476,66.061,66.476,65.47,66.063,66.476
2.5,66.34,65.962,66.34,65.426,65.965,66.34
2.375,66.211,65.869,66.211,65.384,65.871,66.211
2.25,66.087,65.78,66.087,65.344,65.782,66.087
2.125,65.971,65.696,65.971,65.307,65.697,65.971
2,65.861,65.617,65.861,65.272,65.618,65.861
1.875,65.757,65.542,65.757,65.238,65.543,65.757
1.75,65.66,65.472,65.66,65.207,65.473,65.66
1.625,65.569,65.407,65.569,65.179,65.408,65.569
1.5,65.485,65.347,65.485,65.152,65.347,65.485
1.375,65.408,65.291,65.408,65.127,65.292,65.408
1.25,65.337,65.241,65.337,65.105,65.241,65.337
1.125,65.273,65.195,65.273,65.085,65.195,65.273
1,65.215,65.154,65.215,65.067,65.154,65.215
0.875,65.165,65.117,65.165,65.051,65.118,65.165
0.75,65.121,65.086,65.121,65.037,65.086,65.121
0.625,65.084,65.06,65.084,65.026,65.06,65.084
0.5,65.053,65.038,65.053,65.016,65.038,65.053
0.375,65.03,65.021,65.03,65.009,65.021,65.03
0.25,65.013,65.009,65.013,65.003,65.009,65.013
0.125,65.003,65.002,65.003,65,65.002,65.003
0.125,65.003,65.002,65.003,65,65.002,65.003
