q,xpswmm
200,4.028
202.995,8.195
242.03,10.255
260.718,11.369
269.972,11.954
274.112,12.22
275.157,12.287
274.277,12.229
272.171,12.092
269.281,11.906
265.879,11.69
262.162,11.457
258.223,11.214
254.144,10.966
249.98,10.717
245.758,10.469
241.502,10.223
237.224,9.98
232.929,9.74
228.628,9.505
224.323,9.274
220.014,9.047
215.702,8.824
211.39,8.606
207.076,8.392
202.765,8.182
198.449,7.977
194.138,7.776
189.83,7.58
185.522,7.388
181.218,7.201
176.908,7.018
172.602,6.839
168.29,6.665
163.982,6.495
159.668,6.33
155.357,6.169
151.043,6.012
146.729,5.86
142.415,5.712
138.102,5.568
133.488,5.431
128.648,5.315
124.296,5.211
120.171,5.109
116.41,5.002
112.614,4.881
108.604,4.753
104.508,4.622
100.381,4.489
96.243,4.356
92.108,4.222
87.979,4.087
83.847,3.952
79.725,3.816
75.604,3.679
71.494,3.54
67.381,3.4
63.277,3.259
59.18,3.115
55.086,2.97
51.016,2.823
46.93,2.673
42.89,2.52
38.841,2.364
34.829,2.204
30.825,2.039
26.855,1.869
22.933,1.693
19.037,1.51
21.302,1.303
10.468,0.943
10.468,0.943
