Depth (ft),no_panel,Area (ft2),Width (ft),Perimeter (ft),panel4,panel6,panel9,panel11,panel_random,panel_all
0,0,0,0,0,0,0,0,0,0,0
2.4,908.32,8.16,6.8,8.491,908.32,908.32,908.32,908.32,920.28,920.28
2.5,729.28,9.207,14.139,15.96,729.28,1018.23,1018.23,1018.23,744.4,1031.57
5,9496.58,48.894,17.611,22.074,9496.58,9546.64,9546.64,9546.64,9669.88,10397.12
5.05,7818.38,50.002,26.706,31.252,7818.38,8562.69,9798.88,9798.88,9931.4,10683.8
5.9,13725.31,73.765,29.206,35.515,13725.31,14339.17,14999.55,14999.55,15575.6,16908.16
6,13336.5,76.959,34.682,41.225,14515.32,15119.21,15734.46,15734.46,15664.77,17783.16
7,23998.9,112.8,37,44.418,25215.48,25766.92,26353.22,26353.22,26733.11,28989.54
7.1,23227.54,116.825,43.5,50.923,24437.99,25530.37,26872.87,27539.3,28008.03,30308.5
7.2,24237.59,121.25,45,52.426,25786.24,26851.56,28159.12,28791.45,29344.34,31680.92
