offset,X coordinate (ft),Y coordinate (ft),z,Roughness Manning's n,New panel
0,1942128.343,1080531.908,111.942,0.05,
1.618,1942128.52,1080530.3,111.975,0.05,
3.232,1942128.701,1080528.696,111.975,0.05,
4.85,1942128.878,1080527.088,111.942,0.05,
6.466,1942129.055,1080525.481,111.942,0.05,0
8.084,1942129.235,1080523.873,112.008,0.05,0
9.701,1942129.413,1080522.266,111.877,0.05,0
11.316,1942129.593,1080520.661,108.891,0.05,1
12.933,1942129.77,1080519.054,108.891,0.05,
14.551,1942129.947,1080517.446,107.579,0.05,
16.169,1942130.128,1080515.838,107.579,0.05,
17.786,1942130.305,1080514.231,107.546,0.05,
19.401,1942130.485,1080512.626,107.546,0.05,
21.017,1942130.663,1080511.019,107.448,0.05,
22.635,1942130.843,1080509.411,107.448,0.05,
24.252,1942131.02,1080507.804,107.579,0.05,
25.87,1942131.197,1080506.196,107.579,0.05,
27.484,1942131.378,1080504.592,107.546,0.05,
29.102,1942131.555,1080502.984,107.546,0.05,
30.72,1942131.735,1080501.376,107.546,0.05,
32.337,1942131.913,1080499.769,107.546,0.05,
33.955,1942132.093,1080498.161,107.644,0.05,
35.568,1942132.27,1080496.557,107.644,0.05,
37.186,1942132.447,1080494.949,107.71,0.05,
38.803,1942132.628,1080493.342,107.612,0.05,
40.421,1942132.805,1080491.734,107.71,0.05,
42.039,1942132.985,1080490.126,107.71,0.05,
43.653,1942133.163,1080488.522,108.53,0.05,
45.271,1942133.343,1080486.914,108.53,0.05,
46.888,1942133.52,1080485.307,109.35,0.05,
48.505,1942133.697,1080483.699,109.35,0.05,1
50.123,1942133.878,1080482.092,110.827,0.05,0
51.737,1942134.055,1080480.487,110.827,0.05,0
53.354,1942134.235,1080478.88,112.008,0.05,0
54.972,1942134.413,1080477.272,112.008,0.05,
56.59,1942134.59,1080475.664,112.467,0.05,
58.207,1942134.77,1080474.057,112.467,0.05,
